dataset,total_classes,k,algorithm,seed,final_accuracy,epochs,training_time_s,timestamp,git_commit
cifar100-subset,20,1,MCL-LOG,42,68.35,500,2116.6,2026-08-14T06:22:36.021572,2b04963
cifar100-subset,20,2,MCL-LOG,42,66.65,500,2097.4,2026-08-14T06:57:34.025488,2b04963
cifar100-subset,20,3,MCL-LOG,42,65.05,500,2104.3,2026-08-14T07:32:38.922252,2b04963
cifar100-subset,20,5,MCL-LOG,42,61.9,500,2114.2,2026-08-14T08:07:53.723075,2b04963
cifar100-subset,20,10,MCL-LOG,42,56.5,500,2109.2,2026-08-14T08:43:03.467193,2b04963
cifar100-subset,20,15,MCL-LOG,42,42.3,500,2108.5,2026-08-14T09:18:13.542546,2b04963
cifar100-subset,20,19,MCL-LOG,42,16.9,500,2102.1,2026-08-14T09:53:16.330969,2b04963
cifar100-subset,50,1,MCL-LOG,42,59.72,500,5095.8,2026-08-14T11:18:12.652155,2b04963
cifar100-subset,50,2,MCL-LOG,42,58.58,500,4956.4,2026-08-14T12:40:50.322027,2b04963
cifar100-subset,50,3,MCL-LOG,42,57.72,500,5240.2,2026-08-14T14:08:11.777001,2b04963
cifar100-subset,50,5,MCL-LOG,42,57.06,500,5147.7,2026-08-14T15:34:00.626067,2b04963
cifar100-subset,50,12,MCL-LOG,42,53.78,500,5032.7,2026-08-14T16:57:54.527533,2b04963
cifar100-subset,50,25,MCL-LOG,42,40.56,500,4994.8,2026-08-14T18:21:10.555697,2b04963
cifar100-subset,50,38,MCL-LOG,42,16.84,500,5079.5,2026-08-14T19:45:51.338121,2b04963
cifar100-subset,50,49,MCL-LOG,42,2.86,500,5003.8,2026-08-14T21:09:16.340025,2b04963
cifar100-subset,10,1,ComCo-Fixed,42,79.6,500,2276.1,2026-08-14T22:35:20.020480,2cb3935
cifar100-subset,10,2,ComCo-Fixed,42,79.9,500,2148.3,2026-08-15T00:21:42.498144,b524fcf
cifar100-subset,10,3,ComCo-Fixed,42,76.7,500,2387.2,2026-08-15T01:01:29.940931,b524fcf
cifar100-subset,10,5,ComCo-Fixed,42,74.0,500,2502.9,2026-08-15T01:43:13.093406,b524fcf
cifar100-subset,10,8,ComCo-Fixed,42,61.7,500,2453.3,2026-08-15T02:24:06.644714,b524fcf
cifar100-subset,10,9,ComCo-Fixed,42,50.2,500,2402.1,2026-08-15T03:04:09.007322,b524fcf
cifar100-subset,20,1,ComCo-Fixed,42,65.5,500,5023.8,2026-08-15T04:27:53.045668,b524fcf
cifar100-subset,20,2,ComCo-Fixed,42,64.85,500,5030.5,2026-08-15T05:51:43.978948,b524fcf
cifar100-subset,20,3,ComCo-Fixed,42,63.4,500,4844.1,2026-08-15T07:12:28.505403,b524fcf
cifar100-subset,20,5,ComCo-Fixed,42,61.65,500,4587.1,2026-08-15T08:28:56.015729,b524fcf
cifar100-subset,20,10,ComCo-Fixed,42,56.65,500,4527.8,2026-08-15T09:44:24.124295,b524fcf
cifar100-subset,20,15,ComCo-Fixed,42,45.45,500,4682.7,2026-08-15T11:02:27.208669,b524fcf
cifar100-subset,20,19,ComCo-Fixed,42,37.3,500,4660.4,2026-08-15T12:20:08.054799,b524fcf
